username,user,mail,jogoname,jogoage,jogorelease,devname,devloc
Marta32,Marta,marta32@outlook.pt,Last War,2,2016-07-16 20:26,Pokemon,Martin
Marta32,Marta,marta32@outlook.pt,War I,2,2018-04-21 01:43,Valve,Lisboa
Marta32,Marta,marta32@outlook.pt,Dawn Final,8,2018-08-23 14:24,Sony,Faro
Marta32,Marta,marta32@outlook.pt,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Marta32,Marta,marta32@outlook.pt,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Leonor1,Leonor,leonor1@outlook.pt,Soldier Soldier,16,2016-03-01 10:47,Sony,Faro
Rafaela56,Rafaela,rafaela56@hotmail.com,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
Soraia45,Soraia,soraia45@ua.pt,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
João32,João,joão32@outlook.pt,Pro Last,12,2018-09-12 15:31,Naughty Dog,Martin
João32,João,joão32@outlook.pt,Last Sun,18,2015-06-26 12:36,Intel,Coimbra
João32,João,joão32@outlook.pt,First Night,12,2017-01-28 01:18,Valve,Lisboa
Rita0,Rita,rita0@ua.pt,War Insane,18,2018-11-01 00:13,Sony,Faro
José47,José,josé47@ua.pt,Digital Pro,8,2017-11-14 01:24,Intel,Coimbra
José47,José,josé47@ua.pt,Ultra II,8,2015-04-25 15:13,Pokemon,Martin
José47,José,josé47@ua.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
José47,José,josé47@ua.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
José47,José,josé47@ua.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
José47,José,josé47@ua.pt,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Alice47,Alice,alice47@outlook.pt,II Dawn,12,2016-05-13 23:47,Nintendo,Faro
Alice47,Alice,alice47@outlook.pt,First Final,2,2017-01-12 21:26,Nintendo,Faro
Alice47,Alice,alice47@outlook.pt,Soldier Ultra,18,2015-12-15 08:55,Naughty Dog,Martin
Alice47,Alice,alice47@outlook.pt,Soldier Soldier,16,2016-03-01 10:47,Sony,Faro
Alice50,Alice,alice50@outlook.pt,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Alice50,Alice,alice50@outlook.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Alice50,Alice,alice50@outlook.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Alice50,Alice,alice50@outlook.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
Alice50,Alice,alice50@outlook.pt,Pro Last,12,2018-09-12 15:31,Naughty Dog,Martin
Alice50,Alice,alice50@outlook.pt,Sun Pro,8,2015-06-04 09:34,Intel,Coimbra
Teresa23,Teresa,teresa23@outlook.pt,Pro Fight,16,2017-10-04 09:41,Nintendo,Faro
Teresa23,Teresa,teresa23@outlook.pt,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Teresa23,Teresa,teresa23@outlook.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Teresa23,Teresa,teresa23@outlook.pt,First Night,12,2017-01-28 01:18,Valve,Lisboa
Francisca18,Francisca,francisca18@outlook.pt,First Night,12,2017-01-28 01:18,Valve,Lisboa
Francisca18,Francisca,francisca18@outlook.pt,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
Francisca18,Francisca,francisca18@outlook.pt,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Francisca18,Francisca,francisca18@outlook.pt,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
Francisca18,Francisca,francisca18@outlook.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Francisca18,Francisca,francisca18@outlook.pt,Ultra I,12,2017-07-19 01:16,Valve,Lisboa
Mafalda30,Mafalda,mafalda30@outlook.pt,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
Mafalda30,Mafalda,mafalda30@outlook.pt,Digital Pro,8,2017-11-14 01:24,Intel,Coimbra
Mafalda30,Mafalda,mafalda30@outlook.pt,Ultra II,8,2015-04-25 15:13,Pokemon,Martin
Mafalda30,Mafalda,mafalda30@outlook.pt,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
Mafalda30,Mafalda,mafalda30@outlook.pt,Ultimate Fight,12,2017-01-02 12:17,Valve,Lisboa
Ana49,Ana,ana49@outlook.pt,First Final,2,2017-01-12 21:26,Nintendo,Faro
Ana49,Ana,ana49@outlook.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Ana49,Ana,ana49@outlook.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Ana49,Ana,ana49@outlook.pt,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Ana49,Ana,ana49@outlook.pt,Ultimate Dawn,16,2015-12-07 13:29,Nintendo,Faro
Ana49,Ana,ana49@outlook.pt,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Francisca75,Francisca,francisca75@hotmail.com,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
Francisca75,Francisca,francisca75@hotmail.com,Last War,2,2016-07-16 20:26,Pokemon,Martin
Rodrigo37,Rodrigo,rodrigo37@ua.pt,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Rodrigo37,Rodrigo,rodrigo37@ua.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Rodrigo37,Rodrigo,rodrigo37@ua.pt,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Rodrigo37,Rodrigo,rodrigo37@ua.pt,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Ana53,Ana,ana53@hotmail.com,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Ana53,Ana,ana53@hotmail.com,Soldier Sun,12,2015-09-02 05:42,Sony,Faro
Ana53,Ana,ana53@hotmail.com,War Insane,18,2018-11-01 00:13,Sony,Faro
Ana53,Ana,ana53@hotmail.com,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Ana53,Ana,ana53@hotmail.com,Last War,2,2016-07-16 20:26,Pokemon,Martin
Ana53,Ana,ana53@hotmail.com,Dawn Final,8,2018-08-23 14:24,Sony,Faro
Teresa68,Teresa,teresa68@hotmail.com,Last War,2,2016-07-16 20:26,Pokemon,Martin
Teresa68,Teresa,teresa68@hotmail.com,Ultimate Fight,12,2017-01-02 12:17,Valve,Lisboa
Luís78,Luís,luís78@hotmail.com,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
Luís78,Luís,luís78@hotmail.com,Sun War,12,2015-04-11 09:37,Sony,Faro
Luís78,Luís,luís78@hotmail.com,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
Luís78,Luís,luís78@hotmail.com,Ultra II,8,2015-04-25 15:13,Pokemon,Martin
Luís78,Luís,luís78@hotmail.com,Extreme Motor,8,2015-06-03 07:06,Pokemon,Martin
Filipa72,Filipa,filipa72@outlook.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Filipa72,Filipa,filipa72@outlook.pt,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Filipa72,Filipa,filipa72@outlook.pt,Digital Pro,8,2017-11-14 01:24,Intel,Coimbra
Filipa72,Filipa,filipa72@outlook.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Maria29,Maria,maria29@ua.pt,Digital Pro,8,2017-11-14 01:24,Intel,Coimbra
Maria29,Maria,maria29@ua.pt,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Maria29,Maria,maria29@ua.pt,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
Margarida81,Margarida,margarida81@ua.pt,Soldier Sun,12,2015-09-02 05:42,Sony,Faro
Margarida81,Margarida,margarida81@ua.pt,War I,2,2018-04-21 01:43,Valve,Lisboa
Margarida81,Margarida,margarida81@ua.pt,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
Margarida81,Margarida,margarida81@ua.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Margarida81,Margarida,margarida81@ua.pt,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
João33,João,joão33@outlook.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
João33,João,joão33@outlook.pt,War I,2,2018-04-21 01:43,Valve,Lisboa
Marta58,Marta,marta58@hotmail.com,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Lara39,Lara,lara39@ua.pt,First Final,2,2017-01-12 21:26,Nintendo,Faro
Lara39,Lara,lara39@ua.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Carla5,Carla,carla5@ua.pt,Soldier Sun,12,2015-09-02 05:42,Sony,Faro
Luís87,Luís,luís87@ua.pt,Car Earth,16,2018-09-14 06:09,Valve,Lisboa
Pedro22,Pedro,pedro22@hotmail.com,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Pedro22,Pedro,pedro22@hotmail.com,Soldier Motor,8,2016-01-01 03:34,Sony,Faro
Pedro22,Pedro,pedro22@hotmail.com,Ultimate Dawn,16,2015-12-07 13:29,Nintendo,Faro
Pedro22,Pedro,pedro22@hotmail.com,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Rodrigo24,Rodrigo,rodrigo24@outlook.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Rodrigo24,Rodrigo,rodrigo24@outlook.pt,Soldier Motor,8,2016-01-01 03:34,Sony,Faro
Rodrigo24,Rodrigo,rodrigo24@outlook.pt,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
